"2002-07-30T21:00:00,","0.9775,","0.9775,","0.9775,",0.9775
"2002-07-31T21:00:00,","0.98445,","0.98445,","0.98445,",0.98445
"2002-08-01T21:00:00,","0.9866,","0.9866,","0.9866,",0.9866
"2002-08-03T21:00:00,","0.9864,","0.9864,","0.9864,",0.9864
"2002-08-04T21:00:00,","0.98015,","0.98015,","0.98015,",0.98015
"2002-08-05T21:00:00,","0.96635,","0.96635,","0.96635,",0.96635
"2002-08-06T21:00:00,","0.97485,","0.97485,","0.97485,",0.97485
"2002-08-07T21:00:00,","0.9672,","0.9672,","0.9672,",0.9672
"2002-08-08T21:00:00,","0.9704,","0.9704,","0.9704,",0.9704
"2002-08-10T21:00:00,","0.9698,","0.9698,","0.9698,",0.9698
"2002-08-11T21:00:00,","0.97895,","0.97895,","0.97895,",0.97895
"2002-08-12T21:00:00,","0.98385,","0.98385,","0.98385,",0.98385
"2002-08-13T21:00:00,","0.9797,","0.9797,","0.9797,",0.9797
"2002-08-14T21:00:00,","0.982,","0.982,","0.982,",0.982
"2002-08-15T21:00:00,","0.9851,","0.9851,","0.9851,",0.9851
"2002-08-17T21:00:00,","0.984,","0.984,","0.984,",0.984
"2002-08-18T21:00:00,","0.97625,","0.97625,","0.97625,",0.97625
"2002-08-19T21:00:00,","0.97915,","0.97915,","0.97915,",0.97915
"2002-08-20T21:00:00,","0.98065,","0.98065,","0.98065,",0.98065
"2002-08-21T21:00:00,","0.96915,","0.96915,","0.96915,",0.96915
"2002-08-22T21:00:00,","0.973,","0.973,","0.973,",0.973
"2002-08-24T21:00:00,","0.973,","0.973,","0.973,",0.973
"2002-08-25T21:00:00,","0.97195,","0.97195,","0.97195,",0.97195
"2002-08-26T21:00:00,","0.9833,","0.9833,","0.9833,",0.9833
"2002-08-27T21:00:00,","0.97925,","0.97925,","0.97925,",0.97925
"2002-08-28T21:00:00,","0.98485,","0.98485,","0.98485,",0.98485
"2002-08-29T21:00:00,","0.9822,","0.9822,","0.9822,",0.9822
"2002-08-31T21:00:00,","0.9823,","0.9823,","0.9823,",0.9823
"2002-09-01T21:00:00,","0.9837,","0.9837,","0.9837,",0.9837
"2002-09-02T21:00:00,","0.99695,","0.99695,","0.99695,",0.99695
"2002-09-03T21:00:00,","0.9929,","0.9929,","0.9929,",0.9929
"2002-09-04T21:00:00,","0.9916,","0.9916,","0.9916,",0.9916
"2002-09-07T21:00:00,","0.9816,","0.9816,","0.9816,",0.9816
"2002-09-08T21:00:00,","0.97955,","0.97955,","0.97955,",0.97955
"2002-09-09T21:00:00,","0.97555,","0.97555,","0.97555,",0.97555
